tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
PP,8,36,18,0.111111111,0.047619048,0.079365079,0.095238095,0.126984127,0.53968254
PP,8,37,19,0.104477612,0.044776119,0.194029851,0.044776119,0.014925373,0.582089552
PP,8,38,19,0.035087719,0.01754386,0.157894737,0.140350877,0.140350877,0.50877193
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
PP,2,39,20,0.042105263,0.115789474,0.663157895,0.031578947,0.073684211,0.073684211
PP,2,40,20,0.041666667,0.090277778,0.75,0.0625,0.013888889,0.041666667
PP,2,41,21,0.074074074,0.092592593,0.685185185,0.055555556,0.009259259,0.083333333
PP,2,42,21,0.028169014,0.056338028,0.704225352,0.056338028,0.042253521,0.098591549
PP,2,43,22,0.040816327,0.081632653,0.693877551,0.040816327,0.020408163,0.102040816
PP,2,44,22,0.052631579,0.178947368,0.526315789,0.052631579,0.115789474,0.073684211
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
PP,4,51,26,0.119047619,0.285714286,0.357142857,0.19047619,0.047619048,0
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
