tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
Pancreas,8,33,17,0.207271147,0.396292005,0.033169177,0.112977984,0.226535342,0.019988413
Pancreas,8,34,17,0.090239968,0.189554346,0.020165356,0.235783424,0.394988909,0.060092761
Pancreas,8,35,18,0.195201933,0.287538833,0.028190082,0.155620757,0.289840064,0.039005868
Pancreas,8,36,18,0.128104575,0.189978214,0.184313725,0.189978214,0.186056645,0.116339869
Pancreas,8,37,19,0.161018986,0.384282624,0.024993992,0.102859889,0.271329007,0.053592886
Pancreas,8,38,19,0.118788663,0.218493511,0.022560951,0.216310193,0.383940484,0.035054381
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
Pancreas,2,39,20,0.18579235,0.356284153,0.240437158,0.110382514,0.072131148,0.019672131
Pancreas,2,40,20,0.24696032,0.261885693,0.055333091,0.188496542,0.183982526,0.03021478
Pancreas,2,41,21,0.126888218,0.331117825,0.056193353,0.104531722,0.284592145,0.051359517
Pancreas,2,42,21,0.190588235,0.304705882,0.231176471,0.142941176,0.075882353,0.035294118
Pancreas,2,43,22,0.327680194,0.171209368,0.039773874,0.298808803,0.126993741,0.020189784
Pancreas,2,44,22,0.169953596,0.340680588,0.132637278,0.107308585,0.189288476,0.042536736
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
Pancreas,1,45,23,0.278581917,0.284245857,0.032724984,0.179358087,0.20977554,0.012376757
Pancreas,1,46,23,0.239766082,0.32748538,0.070175439,0.128654971,0.222222222,0.011695906
Pancreas,1,47,24,0.376026474,0.212035789,0.041181517,0.238264493,0.119377375,0.008211791
Pancreas,1,48,24,0.31496063,0.196850394,0.102362205,0.196850394,0.165354331,0.023622047
Pancreas,4,49,25,0.250904704,0.230759952,0.112424608,0.226537998,0.140410133,0.036188179
Pancreas,4,50,25,0.054577465,0.144366197,0.096830986,0.035211268,0.271126761,0.397887324
Pancreas,4,51,26,0.071043165,0.25,0.317446043,0.041366906,0.157374101,0.161870504
Pancreas,4,52,26,0.1179941,0.418879056,0.182890855,0.144542773,0.09439528,0.03539823
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
Pancreas,2,53,27,0.26308012,0.23190949,0.080166243,0.250288617,0.151743246,0.015608405
Pancreas,2,54,27,0.317119394,0.383449147,0.095388503,0.130764371,0.056854075,0.009475679
Pancreas,2,55,28,0.080265849,0.436605317,0.078732106,0.093047035,0.288343558,0.020449898
Pancreas,2,56,28,0.321147357,0.24071991,0.076490439,0.257030371,0.078740157,0.020247469
Pancreas,2,57,29,0.228317272,0.360934025,0.11608599,0.140029652,0.127872498,0.023276501
Pancreas,2,58,29,0.338380779,0.331920048,0.095699576,0.169594185,0.052089643,0.009691096
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
Pancreas,1,59,30,0.415721232,0.163371151,0.038735818,0.299351702,0.069854133,0.015559157
Pancreas,1,60,30,0.246875,0.434375,0.128125,0.06875,0.05,0.053125
Pancreas,1,61,31,0.328658968,0.122201273,0.117958991,0.320056564,0.097454631,0.011784115
Pancreas,1,62,31,0.441661449,0.205176372,0.038196619,0.20329785,0.100396577,0.012314757
Pancreas,8,63,32,0.234842963,0.390549235,0.155674579,0.089373435,0.11108294,0.012486927
