tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
Lung,8,33,17,0.333333333,0.229411765,0.076470588,0.164705882,0.105882353,0.088235294
Lung,8,34,17,0.216849817,0.07032967,0.066666667,0.43956044,0.166300366,0.035164835
Lung,8,35,18,0.313447927,0.165015167,0.019413549,0.2760364,0.16380182,0.058442872
Lung,8,36,18,0.20611668,0.125931637,0.208686713,0.23541506,0.124389617,0.096376253
Lung,8,37,19,0.268361582,0.173728814,0.056497175,0.156308851,0.134180791,0.207627119
Lung,8,38,19,0.190415822,0.040567951,0.055020284,0.409736308,0.178245436,0.121450304
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
Lung,2,39,20,0.297770701,0.25,0.082802548,0.257165605,0.095541401,0.011942675
Lung,2,40,20,0.187173751,0.290082028,0.209545116,0.122296793,0.099179717,0.08650261
Lung,2,41,21,0.18732687,0.210526316,0.237534626,0.144736842,0.102493075,0.113919668
Lung,2,42,21,0.228070175,0.231259968,0.228867624,0.157894737,0.099681021,0.049441786
Lung,2,43,22,0.299029126,0.233009709,0.075728155,0.248543689,0.122330097,0.021359223
Lung,2,44,22,0.206260032,0.196629213,0.068218299,0.155698234,0.338683788,0.030497592
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
Lung,1,45,23,0.311004785,0.246411483,0.083732057,0.156698565,0.186602871,0.011961722
Lung,1,46,23,0.365257596,0.245046235,0.014531044,0.28665786,0.084544254,0.001321004
Lung,1,47,24,0.341765617,0.304594734,0.045947341,0.193598348,0.105317501,0.00464636
Lung,1,48,24,0.334448161,0.216276477,0.034559643,0.228539576,0.180602007,0.001114827
Lung,4,49,25,0.106207465,0.195504228,0.174881419,0.115900186,0.145390802,0.262734584
Lung,4,50,25,0.109336882,0.137280994,0.132180084,0.083166999,0.184741628,0.354180528
Lung,4,51,26,0.163728632,0.136752137,0.119123932,0.108440171,0.270299145,0.202724359
Lung,4,52,26,0.234582133,0.18443804,0.125648415,0.333717579,0.095677233,0.023631124
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
Lung,2,53,27,0.225113122,0.266591252,0.122926094,0.126696833,0.206636501,0.049396682
Lung,2,54,27,0.217821782,0.344177275,0.119754833,0.23903819,0.063649222,0.014144272
Lung,2,55,28,0.298061124,0.143936904,0.116003943,0.245481433,0.132435097,0.060795268
Lung,2,56,28,0.259076923,0.225230769,0.164307692,0.257846154,0.065846154,0.027692308
Lung,2,57,29,0.154783448,0.499577754,0.129931234,0.046447099,0.120038605,0.047774159
Lung,2,58,29,0.184615385,0.316346154,0.137820513,0.163782051,0.159935897,0.036217949
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
Lung,1,59,30,0.519963702,0.093466425,0.0353902,0.256805808,0.082577132,0.001814882
Lung,1,60,30,0.40522438,0.225720027,0.015070328,0.323174816,0.023107837,0.002009377
Lung,1,61,31,0.259351621,0.06234414,0.014962594,0.39276808,0.20074813,0.049875312
Lung,1,62,31,0.354517942,0.05361003,0.002594034,0.463035019,0.072200605,0.044963251
Lung,8,63,32,0.326239224,0.269396552,0.228987069,0.126077586,0.025862069,0.005926724
Lung,8,64,32,0.077713194,0.014411975,0.034397643,0.161318576,0.130344773,0.513894418
