tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
LPL,2,39,20,0.016129032,0.041493236,0.885275754,0.00871488,0.013397503,0.034209157
LPL,2,40,20,0.021786492,0.03670186,0.898273839,0.014077426,0.011060835,0.017429194
LPL,2,41,21,0.032136627,0.038839409,0.805986594,0.037921219,0.025892939,0.058121385
LPL,2,42,21,0.007841954,0.035439602,0.920977228,0.006484693,0.008595989,0.02035892
LPL,2,43,22,0.05745181,0.045604137,0.754771979,0.075223319,0.022755054,0.041278796
LPL,2,44,22,0.023501427,0.085442436,0.684110371,0.016365366,0.072121789,0.115794481
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
LPL,1,45,23,0.057180962,0.14345253,0.71209469,0.029257314,0.044677836,0.013253313
LPL,1,46,23,0.027338284,0.170379938,0.742116026,0.02174147,0.029168012,0.010224949
LPL,1,47,24,0.027491409,0.120274914,0.766323024,0.010309278,0.068728522,0.003436426
LPL,1,48,24,0.021900784,0.210654986,0.704186615,0.013547927,0.035754304,0.015585209
LPL,4,49,25,0.009283636,0.252182347,0.609533047,0.004295414,0.048773729,0.077871692
LPL,4,50,25,0.046435579,0.179365598,0.351209941,0.047743623,0.158763898,0.218933944
LPL,4,51,26,0.028377806,0.144642101,0.634053367,0.01630665,0.083650995,0.095298602
LPL,4,52,26,0.024609016,0.239650414,0.611890524,0.030013799,0.051057958,0.045653174
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
LPL,2,53,27,0.031017,0.097524605,0.788547569,0.038174769,0.026245154,0.018490904
LPL,2,54,27,0.020200113,0.087030395,0.826883141,0.020011327,0.020577685,0.025863696
LPL,2,55,28,0.026162791,0.102801268,0.747357294,0.039112051,0.041490486,0.044133192
LPL,2,56,28,0.039856158,0.094995505,0.750374588,0.046149236,0.036559784,0.031765058
LPL,2,57,29,0.036993076,0.145004946,0.762017804,0.019980218,0.017408506,0.018001978
LPL,2,58,29,0.021941242,0.084232057,0.799553737,0.022870956,0.045370026,0.025474154
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
LPL,1,59,30,0.027220985,0.177431329,0.761197723,0.01979708,0.013857956,0.002227171
LPL,1,60,30,0.065681445,0.088464696,0.776683087,0.036740558,0.021756979,0.009646962
LPL,1,61,31,0.048551612,0.215830273,0.581803346,0.054535564,0.089623283,0.008159935
LPL,1,62,31,0.063687544,0.145320197,0.717452498,0.037297678,0.029204785,0.005981703
LPL,8,63,32,0.03486786,0.170673487,0.73316283,0.010144928,0.016709292,0.034441603
LPL,8,64,32,0.005621189,0.01648247,0.173208841,0.01171875,0.128525152,0.662633384
LPL,8,65,33,0.061011181,0.112299465,0.711473019,0.013612056,0.006562956,0.087263004
LPL,8,66,33,0.004252462,0.003133393,0.004252462,0.018352731,0.163831692,0.807296329
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
LPL,4,67,34,0.023637695,0.105532894,0.804309173,0.014852003,0.028553499,0.02332392
LPL,4,68,34,0.018081404,0.098048116,0.651535785,0.016265698,0.069072477,0.147601755
LPL,4,69,35,0.01679558,0.136574586,0.790276243,0.01038674,0.020552486,0.026298343
LPL,4,70,35,0.009866405,0.051844589,0.569248682,0.014523839,0.070658169,0.28428729
LPL,4,71,36,0.034711965,0.169620876,0.522156573,0.034711965,0.090349581,0.148202856
LPL,4,72,36,0.026422132,0.131281732,0.662832867,0.023831727,0.062376956,0.094497979
LPL,0,73,0,0.0188,0.0913,0.889,0,0,0
LPL,0,74,0,0.0083,0.0947,0.898,0,0,0
