tissue,week,mouse,pair,host.treg.naive,host.treg.activ,host.treg.cd69p,donor.treg.naive,donor.treg.activ,donor.treg.cd69p
Blood,8,38,19,0.163364597,0.09258182,4.61627e-4,0.607098869,0.136150849,3.42237e-4
IEL,8,33,17,0.0173,0.0599,0.398,0.0051,0.0183,0.462
IEL,8,34,17,0.0032,0.0069,0.186,0.0095,0.0291,0.753
IEL,8,35,18,0.0055,0.0195,0.319,0.003,0.0175,0.609
IEL,8,36,18,0.0042,0.01,0.184,0.0074,0.0238,0.754
IEL,8,37,19,0.0095,0.0076,0.0795,0,0.0133,0.778
IEL,8,38,19,0.0017,0.0046,0.0868,0.0046,0.0172,0.88
Blood,2,39,20,0.303330482,0.175561051,0.007753946,0.411961622,0.101192568,2.0033e-4
Blood,2,40,20,0.471585541,0.257428499,0.004840536,0.179630198,0.083561307,0.002953919
Blood,2,41,21,0.198767156,0.292450429,0.004560244,0.227895882,0.276007235,3.19054e-4
Blood,2,42,21,0.397781016,0.31279728,0.0033565,0.19681286,0.089252343,0
Blood,2,43,22,0.092323314,0.302220764,0,0.240853104,0.364023552,5.79267e-4
Blood,2,44,22,0.146747199,0.648734887,0.006976506,0.058059756,0.132510531,0.00697112
IEL,2,39,20,0.0417,0,0.931,0,0,0.0278
IEL,2,40,20,0.0121,0.0263,0.903,0.004,0.002,0.0526
IEL,2,41,21,0.009,0.009,0.892,0.0045,0.018,0.0676
IEL,2,42,21,0.01,0.0435,0.913,0.01,0.0033,0.0201
IEL,2,43,22,0.0184,0.0439,0.729,0.0459,0.0306,0.129
IEL,2,44,22,0.0021,0.0348,0.935,8.6e-4,0.0052,0.0215
Blood,1,45,23,0.183143882,0.439043552,0.005017641,0.132381913,0.23754163,0.002871382
Blood,1,46,23,0.191638019,0.463343976,0.001312589,0.127494841,0.216052068,1.58507e-4
Blood,1,47,24,0.204747971,0.427355579,0.004847616,0.140542062,0.221526247,9.80526e-4
Blood,1,48,24,0.150248647,0.468130083,0.002855966,0.11652208,0.261984286,2.58938e-4
Blood,4,49,25,0.286702753,0.313921369,0.003931578,0.187045154,0.202467482,0.005931665
Blood,4,50,25,0.204334534,0.247017748,0.001997938,0.226561591,0.319819388,2.68802e-4
Blood,4,51,26,0.297881188,0.33190641,0.010464361,0.084917521,0.266986444,0.007844076
Blood,4,52,26,0.091228512,0.415879696,0.002191523,0.220527252,0.269862207,3.1081e-4
IEL,1,45,23,0.0089,0.112,0.826,0.0045,0.0089,0.0134
IEL,1,46,23,0,0.0717,0.901,0,0.0135,0.009
IEL,1,47,24,0.0179,0.067,0.844,0.0089,0.0134,0.0312
IEL,1,48,24,0,0.123,0.858,0.0094,0.0094,0
IEL,4,49,25,0,0.0494,0.706,0.0029,0.032,0.189
IEL,4,50,25,0.0034,0.0379,0.5,0.0034,0.0483,0.393
IEL,4,51,26,0,0.0348,0.771,0,0.0249,0.144
IEL,4,52,26,0.0058,0.0526,0.877,0.0058,0.0234,0.0351
Blood,2,53,27,0.204432534,0.476553433,0.001572558,0.153528789,0.163403047,5.09639e-4
Blood,2,54,27,0.137785763,0.427021992,0.001480343,0.147063883,0.286272723,3.75297e-4
Blood,2,55,28,0.291618405,0.304141894,5.42685e-4,0.211856191,0.189661733,0.002179092
Blood,2,56,28,0.16196181,0.278538716,0.00160182,0.254440696,0.303199155,2.57803e-4
Blood,2,57,29,0.265123537,0.584982257,0.003591996,0.102235279,0.044066931,0
Blood,2,58,29,0.108365223,0.347884923,0.007534406,0.130784255,0.404193316,0.001237876
IEL,2,53,27,0.0049,0.078,0.824,0.0098,0.0195,0.0634
IEL,2,54,27,0.0075,0.0448,0.866,0,0.0299,0.0522
IEL,2,55,28,0.0155,0.0515,0.845,0,0.0103,0.067
IEL,2,56,28,0,0.057,0.797,0.0127,0.0443,0.0949
