tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
PP,8,33,17,0.216433409,0.041805869,0.06221219,0.1048307,0.025733634,0.544740406
PP,8,34,17,0.14205484,0.021803766,0.074496201,0.314337628,0.07003634,0.373141724
PP,8,35,18,0.130364253,0.037605073,0.084648282,0.087007816,0.056481345,0.601238755
PP,8,36,18,0.127264594,0.04831134,0.105569224,0.200402594,0.063967792,0.451353165
PP,8,37,19,0.107116714,0.02643351,0.04806832,0.052379016,0.032370882,0.731354209
PP,8,38,19,0.105075857,0.032964975,0.027720547,0.239183368,0.087469564,0.502528563
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
PP,2,39,20,0.037369208,0.00941704,0.880044843,0.046860987,0.003587444,0.022122571
PP,2,40,20,0.071377188,0.012948605,0.852689633,0.045719767,0.002637679,0.013268324
PP,2,41,21,0.061708774,0.007672494,0.829889845,0.074642407,0.003507426,0.021208966
PP,2,42,21,0.078126852,0.017308832,0.82892709,0.051215175,0.006401897,0.015649081
PP,2,43,22,0.032881582,0.01244168,0.89746723,0.038769162,0.003332593,0.013774717
PP,2,44,22,0.130428272,0.025306978,0.709044624,0.09344115,0.012728362,0.025756214
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
PP,1,45,23,0.125350795,0.230121609,0.488306829,0.115996258,0.033676333,0.006548176
PP,1,46,23,0.056331471,0.204376164,0.660614525,0.046089385,0.031657356,0.002793296
PP,1,47,24,0.037037037,0.037037037,0.555555556,0.185185185,0.111111111,0.074074074
PP,4,49,25,0.078377314,0.127215439,0.640015754,0.06734935,0.033871603,0.051595116
PP,4,50,25,0.063859649,0.107368421,0.608070175,0.056842105,0.071929825,0.094035088
PP,4,51,26,0.064369557,0.171525937,0.613404014,0.071374479,0.040893601,0.039757668
PP,4,52,26,0.085844749,0.201826484,0.57260274,0.102283105,0.023744292,0.017351598
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
PP,2,53,27,0.140870185,0.065977175,0.630171184,0.129992867,0.019258203,0.013730385
PP,2,54,27,0.26181592,0.041977612,0.361007463,0.287313433,0.02300995,0.024564677
PP,2,55,28,0.16702066,0.056960803,0.566518633,0.171461672,0.020467272,0.016412435
PP,2,56,28,0.2,0.057709924,0.469923664,0.213129771,0.032366412,0.026870229
PP,2,57,29,0.105155127,0.085024078,0.717770585,0.06370885,0.013736481,0.013262809
PP,2,58,29,0.077189739,0.067829905,0.723364918,0.076265311,0.033741622,0.019875202
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
PP,1,59,30,0.279921517,0.076847613,0.437867888,0.179202093,0.017004578,0.006867233
PP,1,60,30,0.399946709,0.062083666,0.193978151,0.287503331,0.045297096,0.008260059
PP,1,61,31,0.254636157,0.061706973,0.412102809,0.235115497,0.025159961,0.009977226
PP,1,62,31,0.124425424,0.06340149,0.698842923,0.091773657,0.016801395,0.004121097
PP,8,63,32,0.371992959,0.13045179,0.250537845,0.196557794,0.021318208,0.027772345
PP,8,64,32,0.125229358,0.029357798,0.177293578,0.235550459,0.145412844,0.256880734
PP,8,65,33,0.288977727,0.164477441,0.320959452,0.067390063,0.022844089,0.103940605
PP,8,66,33,0.085281112,0.009791535,0.005685407,0.531269741,0.149399874,0.216677195
