tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
MLN,8,33,17,0.539698133,0.041975529,0.070465303,0.277217112,0.029829419,0.039921408
MLN,8,34,17,0.275394353,0.02491711,0.035165277,0.56133829,0.039284638,0.063197026
MLN,8,35,18,0.459106307,0.045007259,0.05291176,0.353282788,0.046781739,0.040006453
MLN,8,36,18,0.364883984,0.035370685,0.04852858,0.471844935,0.024193548,0.054046406
MLN,8,37,19,0.520608243,0.043517407,0.072228892,0.268607443,0.044517807,0.049119648
MLN,8,38,19,0.256971364,0.033637614,0.027885457,0.555833438,0.046392397,0.07765412
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
MLN,2,39,20,0.404531861,0.039337474,0.072348746,0.400276052,0.030480791,0.049919485
MLN,2,40,20,0.446237605,0.031790784,0.064845421,0.391405794,0.019249465,0.042290492
MLN,2,41,21,0.407437596,0.041772797,0.057564952,0.413652573,0.026897606,0.050025471
MLN,2,42,21,0.459421478,0.033024944,0.070382949,0.361166413,0.026818129,0.046258344
MLN,2,43,22,0.403990025,0.036482867,0.053939226,0.424586681,0.025768911,0.049413503
MLN,2,44,22,0.445349566,0.047444275,0.055232298,0.369796795,0.038492525,0.037328798
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
MLN,1,45,23,0.477891654,0.125622255,0.056515373,0.274670571,0.04011713,0.016983895
MLN,1,46,23,0.468079738,0.054251829,0.027504416,0.362604088,0.070653545,0.013373707
MLN,1,47,24,0.317257737,0.224418342,0.047662074,0.232776146,0.143550937,0.018635645
MLN,1,48,24,0.229034019,0.29425141,0.031471712,0.148626524,0.257958887,0.018009824
MLN,4,49,25,0.420241287,0.059986595,0.085120643,0.371648794,0.029825737,0.030831099
MLN,4,50,25,0.37044187,0.038824539,0.037108537,0.384598885,0.082582583,0.082582583
MLN,4,51,26,0.425958852,0.050546101,0.068834138,0.379222758,0.033528067,0.039370079
MLN,4,52,26,0.390239682,0.048109371,0.043696461,0.408583542,0.055031583,0.050964783
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
MLN,2,53,27,0.497358225,0.023247622,0.049782787,0.393448397,0.008571093,0.025478455
MLN,2,54,27,0.40708329,0.013692989,0.031349737,0.499021929,0.011479461,0.035570884
MLN,2,55,28,0.479661828,0.018344234,0.047854522,0.407241984,0.013877811,0.031264955
MLN,2,56,28,0.432153585,0.014496539,0.025597492,0.487397153,0.011231553,0.027817683
MLN,2,57,29,0.506741376,0.068639468,0.080721415,0.301698477,0.01278235,0.026790404
MLN,2,58,29,0.414445541,0.025337282,0.053307009,0.443237907,0.02023692,0.043435341
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
MLN,1,59,30,0.531824248,0.045785854,0.070013346,0.321938199,0.009649933,0.024022174
MLN,1,60,30,0.490390844,0.036889081,0.029691211,0.39746635,0.029043403,0.017958684
MLN,1,61,31,0.454025561,0.027301208,0.041623154,0.440897111,0.015415983,0.022278582
MLN,1,62,31,0.526005844,0.042930996,0.036547539,0.354012138,0.027287031,0.014744886
MLN,8,63,32,0.575388357,0.061907712,0.084486359,0.244120144,0.018127166,0.016979877
MLN,8,64,32,0.179876534,0.116547222,0.019513234,0.387426382,0.233839495,0.058078479
