tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
Skin,8,33,17,0.12835249,0.093869732,0.206896552,0.084291188,0.203065134,0.275862069
Skin,8,34,17,0.08988764,0.140449438,0.117977528,0.202247191,0.303370787,0.146067416
Skin,8,35,18,0.21577218,0.101861993,0.124863089,0.168674699,0.148959474,0.235487404
Skin,8,36,18,0.048929664,0.133027523,0.298165138,0.079510703,0.103975535,0.334862385
Skin,8,37,19,0.301169591,0.143274854,0.035087719,0.122807018,0.157894737,0.233918129
Skin,8,38,19,0.155080214,0.078431373,0.090909091,0.319073084,0.1942959,0.158645276
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
Skin,2,39,20,0.162977867,0.271629779,0.344064386,0.084507042,0.084507042,0.040241449
Skin,2,40,20,0.182698125,0.352087114,0.235329704,0.094373866,0.08953418,0.036902601
Skin,2,41,21,0.204222379,0.18156228,0.133286418,0.169317382,0.137649543,0.165939479
Skin,2,42,21,0.125336927,0.23180593,0.419137466,0.056603774,0.066037736,0.09703504
Skin,2,43,22,0.156171285,0.309823678,0.110831234,0.206549118,0.173803526,0.037783375
Skin,2,44,22,0.128747239,0.38277059,0.269801199,0.068160303,0.108867151,0.02903124
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
Skin,1,45,23,0.190656566,0.304292929,0.188131313,0.147727273,0.137626263,0.031565657
Skin,1,46,23,0.261904762,0.314285714,0.1,0.228571429,0.057142857,0.033333333
Skin,1,47,24,0.235764851,0.148763722,0.049656305,0.343798092,0.168154304,0.048835539
Skin,1,48,24,0.365888689,0.177737882,0.042728905,0.265709156,0.122441652,0.022621185
Skin,4,49,25,0.073700543,0.206361521,0.303335919,0.061675718,0.152055857,0.205197828
Skin,4,50,25,0.078093977,0.151555261,0.168762409,0.065519523,0.203176704,0.331568498
Skin,4,51,26,0.034322034,0.094915254,0.397457627,0.015254237,0.192372881,0.267372881
Skin,4,52,26,0.067312349,0.21937046,0.360290557,0.118644068,0.079903148,0.152058111
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
Skin,2,53,27,0.26125331,0.221535746,0.148278906,0.190644307,0.108561342,0.06972639
Skin,2,54,27,0.349377865,0.100523903,0.106090373,0.387688278,0.035036018,0.020628684
Skin,2,55,28,0.3296875,0.1515625,0.140625,0.225,0.09375,0.0578125
Skin,2,56,28,0.10523832,0.283624351,0.461066541,0.063709297,0.053798962,0.033506371
Skin,2,57,29,0.098753595,0.459252157,0.310162991,0.035474593,0.052253116,0.042665388
Skin,2,58,29,0.098656078,0.286499695,0.413561393,0.074526573,0.099266952,0.026572999
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
Skin,1,59,30,0.391791045,0.160447761,0.134328358,0.201492537,0.067164179,0.02238806
Skin,1,60,30,0.238317757,0.23364486,0.327102804,0.168224299,0.023364486,0
Skin,1,61,31,0.220250522,0.123173278,0.144050104,0.358037578,0.098121086,0.030271399
Skin,1,62,31,0.323853743,0.273360418,0.155542658,0.091120139,0.067324434,0.047011027
Skin,8,63,32,0.142498746,0.270948319,0.460110386,0.050175615,0.018564977,0.035624686
Skin,8,64,32,0.036154738,0.021292295,0.072520291,0.076314957,0.157373248,0.582165068
Skin,8,65,33,0.048167006,0.127189409,0.757331976,0.005498982,0.001120163,0.000916497
