tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
Liver,8,33,17,0.167713086,0.400740774,0.097971905,0.092370929,0.194227382,0.033380008
Liver,8,34,17,0.165107935,0.112169872,0.091406388,0.289100641,0.274572084,0.048703017
Liver,8,35,18,0.172016048,0.192995654,0.124373119,0.141591441,0.179872952,0.177449014
Liver,8,36,18,0.118696664,0.16529001,0.318851823,0.121799845,0.152649112,0.112216492
Liver,8,37,19,0.192659586,0.331422863,0.051530129,0.113418866,0.191187296,0.095909139
Liver,8,38,19,0.104843131,0.082790131,0.203716113,0.187694182,0.169966494,0.243070362
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
Liver,2,39,20,0.217403791,0.202757036,0.133735401,0.199789393,0.171740379,0.056193758
Liver,2,40,20,0.124123133,0.253858216,0.248989024,0.101922918,0.153255756,0.100189816
Liver,2,41,21,0.19685401,0.248923589,0.083701705,0.175210977,0.207015328,0.073081118
Liver,2,42,21,0.214228064,0.236826934,0.209846651,0.163611207,0.126945694,0.038164418
Liver,2,43,22,0.167615588,0.237263179,0.128153529,0.153381761,0.237704918,0.05286149
Liver,2,44,22,0.186693822,0.272686128,0.102511881,0.165346609,0.241683639,0.016444143
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
Liver,1,45,23,0.241449998,0.335713554,0.049677133,0.151149681,0.20250094,0.010591411
Liver,1,46,23,0.2889082,0.245694422,0.045386317,0.215713383,0.190630431,0.006517617
Liver,1,47,24,0.222516876,0.362142398,0.083132433,0.131067181,0.177394728,0.011491482
Liver,1,48,24,0.242813376,0.259891793,0.059187797,0.179681898,0.238869696,0.00720292
Liver,4,49,25,0.065613892,0.152365829,0.144222365,0.076641804,0.197555504,0.366951227
Liver,4,50,25,0.160796217,0.165313757,0.049728242,0.133055693,0.289228489,0.198207101
Liver,4,51,26,0.123633932,0.07764616,0.118207872,0.085345816,0.191727169,0.40970577
Liver,4,52,26,0.211480965,0.18961246,0.059454996,0.293687178,0.189783308,0.049887525
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
Liver,2,53,27,0.388636936,0.195599227,0.053623919,0.252960443,0.093600403,0.013269505
Liver,2,54,27,0.293510051,0.202362001,0.030172893,0.362963237,0.094405983,0.011661916
Liver,2,55,28,0.345327395,0.107594937,0.028949836,0.278910767,0.198429442,0.038170027
Liver,2,56,28,0.309672462,0.157189511,0.035299203,0.360724234,0.119969263,0.013831524
Liver,2,57,29,0.164361957,0.408722086,0.142671025,0.078009645,0.14641951,0.06086718
Liver,2,58,29,0.164523044,0.22982109,0.186041718,0.161761069,0.199192019,0.055528073
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
Liver,1,59,30,0.308015077,0.279780954,0.117985918,0.143304175,0.120546192,0.012445772
Liver,1,60,30,0.232369125,0.296935736,0.031702761,0.192286334,0.230854662,0.008228583
Liver,1,61,31,0.288879462,0.210892123,0.123605038,0.208934282,0.133785812,0.008940808
Liver,1,62,31,0.317298386,0.240288786,0.022548327,0.215490858,0.184362657,0.009469251
Liver,8,63,32,0.205239236,0.279861168,0.339740517,0.084406247,0.062193207,0.008065449
Liver,8,64,32,0.08861857,0.029259139,0.039145907,0.174933678,0.119585895,0.462827564
