tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
FRT,8,33,17,0.108591885,0.100238663,0.193317422,0.057279236,0.127684964,0.409307876
FRT,8,34,17,0.028901734,0.078998073,0.233140655,0.048169557,0.156069364,0.452793834
FRT,8,35,18,0.023295945,0.073339085,0.099223469,0.013805004,0.116479724,0.670405522
FRT,8,36,18,0.01898017,0.1,0.579320113,0.018696884,0.060623229,0.221246459
FRT,8,37,19,0.050925926,0.083333333,0.069444444,0.041666667,0.152777778,0.597222222
FRT,8,38,19,0.009845288,0.054852321,0.251758087,0.025316456,0.129395218,0.526019691
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
FRT,2,39,20,0.064285714,0.407142857,0.328571429,0.035714286,0.1,0.057142857
FRT,2,40,20,0.045045045,0.414414414,0.342342342,0.009009009,0.126126126,0.063063063
FRT,2,41,21,0.072463768,0.282608696,0.326086957,0.014492754,0.144927536,0.144927536
FRT,2,42,21,0.040935673,0.350877193,0.50877193,0.023391813,0.035087719,0.035087719
FRT,2,43,22,0.086956522,0.405797101,0.239130435,0.065217391,0.144927536,0.043478261
FRT,2,44,22,0.012802276,0.311522048,0.446657183,0.012802276,0.137980085,0.06116643
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
FRT,1,45,23,0.125827815,0.460264901,0.301324503,0.049668874,0.056291391,0.003311258
FRT,1,46,23,0.25698324,0.259776536,0.198324022,0.212290503,0.055865922,0.01396648
FRT,1,47,24,0.101973684,0.384868421,0.452302632,0.042763158,0.014802632,0
FRT,1,48,24,0.221621622,0.218018018,0.342342342,0.167567568,0.046846847,0.001801802
FRT,4,49,25,0.037931034,0.141016334,0.392740472,0.022867514,0.075317604,0.331760436
FRT,4,50,25,0.050953265,0.120803104,0.215454699,0.028513582,0.164332715,0.420617513
FRT,4,51,26,0.035428219,0.098890943,0.359211337,0.019716574,0.145409735,0.34103512
FRT,4,52,26,0.092165899,0.294930876,0.380184332,0.156682028,0.064516129,0.016129032
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
FRT,2,53,27,0.079234973,0.337431694,0.407103825,0.032786885,0.099726776,0.040983607
FRT,2,54,27,0.05511811,0.433070866,0.350393701,0.062992126,0.066929134,0.031496063
FRT,2,55,28,0.074353448,0.320043103,0.339439655,0.036637931,0.161637931,0.068965517
FRT,2,56,28,0.074766355,0.420560748,0.392523364,0.074766355,0.037383178,0
FRT,2,57,29,0.030959752,0.425696594,0.424148607,0.005417957,0.058823529,0.05495356
FRT,2,58,29,0.074468085,0.507978723,0.25,0.02393617,0.103723404,0.039893617
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
FRT,1,59,30,0.035582822,0.133742331,0.727607362,0.011042945,0.067484663,0.006134969
FRT,1,60,30,0.098976109,0.389078498,0.23890785,0.044368601,0.040955631,0.136518771
FRT,1,61,31,0.075136612,0.18852459,0.62295082,0.015027322,0.043715847,0.009562842
FRT,1,62,31,0.057863501,0.143916914,0.084569733,0.054896142,0.080118694,0.46735905
FRT,8,63,32,0.074126202,0.255219329,0.566267886,0.022050199,0.013605442,0.037532254
FRT,8,64,32,0.007807775,0.018859625,0.121955243,0.017540001,0.084730852,0.621432892
FRT,8,65,33,0.019287096,0.104614534,0.726609561,0.003094778,0.001657917,0.003481625
