tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Blood,8,37,19,0.562403698,0.087680681,0.001907697,0.266123707,0.07946291,0.001467459
Blood,8,38,19,0.249490056,0.046277409,0.000254972,0.611677715,0.087901581,0.00299592
Muscle,8,33,17,0.181528662,0.302547771,0.121019108,0.089171975,0.168789809,0.133757962
Muscle,8,34,17,0.050880626,0.107632094,0.164383562,0.109589041,0.221135029,0.336594912
Muscle,8,35,18,0.100465116,0.37255814,0.031782946,0.108372093,0.310852713,0.065736434
Muscle,8,36,18,0.120713478,0.27672403,0.085542017,0.157266675,0.302977013,0.051501068
Muscle,8,37,19,0.302801724,0.192887931,0.028017241,0.167025862,0.165948276,0.139008621
Muscle,8,38,19,0.015151515,0.035353535,0.131313131,0.065656566,0.287878788,0.464646465
Blood,2,39,20,0.397725868,0.077369917,0.004449388,0.476208132,0.040415276,0.001977506
Blood,2,40,20,0.493641775,0.141504329,0.005952381,0.301948052,0.050730519,0.005005411
Blood,2,41,21,0.367289588,0.119713362,0.007446958,0.426443726,0.073907545,0.003934242
Blood,2,42,21,0.473044961,0.09833795,0.003942041,0.357234179,0.061367995,0.004261666
Blood,2,43,22,0.37289745,0.106483993,0.001627781,0.450623983,0.063483451,0.002984265
Blood,2,44,22,0.367015099,0.146470512,0.003742418,0.310362627,0.166473093,0.003355272
Muscle,2,39,20,0.298315164,0.159563925,0.07234886,0.243805748,0.157581764,0.048562934
Muscle,2,40,20,0.06875,0.2953125,0.3671875,0.0515625,0.0734375,0.1375
Muscle,2,41,21,0.286585366,0.131097561,0.080030488,0.286585366,0.131478659,0.067073171
Muscle,2,43,22,0.304049417,0.10837337,0.080645161,0.308785175,0.120796156,0.066026081
Muscle,2,44,22,0.338189386,0.136836629,0.064689559,0.309399931,0.102497399,0.038501561
Blood,1,45,23,0.362404385,0.230078901,0.001626212,0.223333133,0.177979883,0.000903451
Blood,1,46,23,0.327058921,0.227083853,0.000997258,0.256918474,0.184160226,0.000706391
Blood,1,47,24,0.397848593,0.205111614,0.001900679,0.275355872,0.115051763,0.00088968
Blood,1,48,24,0.440776419,0.114694953,0.000793737,0.338023596,0.102500271,0.000865895
Blood,4,49,25,0.303978981,0.219334621,0.002722294,0.31515305,0.154442721,0.001487766
Blood,4,50,25,0.370355731,0.126482213,0.001293568,0.337261948,0.159899389,0.001724757
Blood,4,51,26,0.365235483,0.244183847,0.00179686,0.178551163,0.205409495,0.001324002
Blood,4,52,26,0.213744852,0.204932914,0.000354249,0.354868707,0.222822477,0.000309968
Muscle,1,45,23,0.378419172,0.192058896,0.06792139,0.223447511,0.105655495,0.027353376
Muscle,1,46,23,0.450167483,0.12236537,0.046457099,0.287374388,0.071064159,0.020175213
Muscle,1,47,24,0.361861558,0.208554417,0.073271497,0.218599376,0.109522459,0.020575965
Muscle,1,48,24,0.296542839,0.247369551,0.027914967,0.206928638,0.196621573,0.018753131
Muscle,4,49,25,0.039215686,0.137254902,0.245098039,0.098039216,0.254901961,0.225490196
Muscle,4,50,25,0.330795455,0.090397727,0.053011364,0.312897727,0.122784091,0.087670455
Muscle,4,51,26,0.305684258,0.151203526,0.087580518,0.180359363,0.156401853,0.117188383
Muscle,4,52,26,0.199555485,0.210509605,0.070963645,0.261470075,0.198444197,0.051516114
Blood,2,53,27,0.383158086,0.209662799,0.001722263,0.30629079,0.092367658,0.000770486
Blood,2,54,27,0.339516379,0.111139816,0.002428439,0.433295443,0.107522993,0.001240054
Blood,2,55,28,0.428147694,0.128413624,0.001278511,0.365654086,0.07226143,0.001125089
Blood,2,56,28,0.394328862,0.054622861,0.001445899,0.487509037,0.058317937,0.001606555
Blood,2,57,29,0.40459364,0.314134276,0.004711425,0.230270907,0.043109541,0.001001178
Blood,2,58,29,0.339475927,0.13623775,0.004793353,0.412547934,0.10044738,0.003408607
Muscle,2,53,27,0.427580279,0.084730153,0.049487321,0.358752379,0.047952355,0.027199607
Muscle,2,54,27,0.382075472,0.079100145,0.037735849,0.400761974,0.068940493,0.025761974
Muscle,2,55,28,0.147925033,0.202811245,0.12248996,0.165997323,0.235609103,0.123159304
Muscle,2,56,28,0.378560215,0.06324288,0.066158331,0.40188383,0.038573671,0.04866562
Muscle,2,57,29,0.290847458,0.223389831,0.152542373,0.220338983,0.071864407,0.037288136
Muscle,2,58,29,0.232227488,0.179224296,0.090337557,0.198278363,0.232711094,0.060160557
Blood,1,59,30,0.525560897,0.136939103,0.001442308,0.285657051,0.04775641,0.001522436
Blood,1,60,30,0.460914499,0.063510184,0.002523583,0.442948988,0.031244367,0.001381962
Blood,1,61,31,0.435339895,0.131208515,0.002403296,0.361123827,0.069523919,0.001373312
Blood,1,62,31,0.487476473,0.079556971,0.002678442,0.375199073,0.057043579,0.001375416
Blood,8,63,32,0.510960906,0.218974546,0.007672634,0.187918646,0.077030812,0.000426257
Blood,8,64,32,0.223949515,0.069262737,0.003694013,0.477297214,0.198707096,0.029090349
Blood,8,65,33,0.658136907,0.192686471,0.006780756,0.130448821,0.014045851,0.00048434
Blood,8,66,33,0.101937578,0.006681302,0.000190894,0.715662881,0.173904744,0.00372244
Muscle,1,59,30,0.304846169,0.144580736,0.277297406,0.104966821,0.059722502,0.041624774
Muscle,1,60,30,0.522298503,0.085031623,0.056381426,0.277177145,0.041596843,0.014649441
Muscle,1,61,31,0.220144357,0.184711286,0.17191601,0.190616798,0.129265092,0.07808399
Muscle,1,62,31,0.337140752,0.118091378,0.054163596,0.300847458,0.129145173,0.075718497
Muscle,8,63,32,0.440514469,0.145829393,0.258937015,0.102704747,0.016833743,0.009646302
Muscle,8,64,32,0.061579652,0.025435074,0.053547523,0.180722892,0.12583668,0.501338688
Muscle,8,65,33,0.157824342,0.279536335,0.333927775,0.115470352,0.085153812,0.027641551
