tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
MLN,8,34,17,0.039215686,0.065359477,0.045751634,0.098039216,0.169934641,0.581699346
MLN,8,35,18,0.051282051,0.012820513,0.115384615,0.115384615,0.217948718,0.448717949
MLN,8,36,18,0.125,0.072916667,0.145833333,0.0625,0.145833333,0.4375
MLN,8,37,19,0.087209302,0.029069767,0.081395349,0.093023256,0.151162791,0.552325581
MLN,8,38,19,0.04375,0.025,0.0875,0.0875,0.18125,0.5625
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
MLN,2,39,20,0.07826087,0.191304348,0.408695652,0.086956522,0.060869565,0.113043478
MLN,2,40,20,0.137931034,0.172413793,0.510344828,0.068965517,0.027586207,0.068965517
MLN,2,41,21,0.142857143,0.231292517,0.455782313,0.040816327,0.020408163,0.095238095
MLN,2,42,21,0.094674556,0.177514793,0.627218935,0.035502959,0.00591716,0.047337278
MLN,2,43,22,0.090909091,0.194805195,0.415584416,0.051948052,0.077922078,0.142857143
MLN,2,44,22,0.127906977,0.226744186,0.453488372,0.104651163,0.023255814,0.046511628
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
MLN,1,45,23,0.378378378,0.297297297,0.108108108,0.189189189,0.027027027,0
MLN,1,46,23,0.522727273,0.318181818,0.068181818,0.068181818,0.022727273,0
MLN,1,47,24,0.49339207,0.083700441,0.118942731,0.264317181,0.022026432,0.013215859
MLN,1,48,24,0.537037037,0.212962963,0.12962963,0.101851852,0,0.018518519
MLN,4,49,25,0.105263158,0.473684211,0.105263158,0.210526316,0.052631579,0.052631579
MLN,4,50,25,0.438596491,0.210526316,0.245614035,0.061403509,0,0.035087719
MLN,4,51,26,0.236842105,0.289473684,0.315789474,0.105263158,0.026315789,0.026315789
MLN,4,52,26,0.388235294,0.258823529,0.2,0.117647059,0,0.035294118
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
MLN,2,53,27,0.336538462,0.278846154,0.192307692,0.163461538,0.019230769,0
MLN,2,54,27,0.334883721,0.306976744,0.16744186,0.120930233,0.041860465,0.009302326
MLN,2,55,28,0.2,0.44,0.133333333,0.173333333,0.026666667,0
MLN,2,56,28,0.440860215,0.290322581,0.172043011,0.053763441,0.010752688,0.021505376
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
Blood,8,66,33,0.079519305,0.01661979,0.004346714,0.64612631,0.211454871,0.036819228
