tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,8,37,19,0.396860987,0.111787316,0.075912876,0.244394619,0.082959641,0.077514414
Blood,8,38,19,0.247376917,0.015536723,0.050645682,0.534301856,0.071428571,0.073244552
Skin,8,33,17,0.065972222,0.200231481,0.274305556,0.043981481,0.19212963,0.216435185
Skin,8,34,17,0.033613445,0.00280112,0.044817927,0.081232493,0.389355742,0.445378151
Skin,8,35,18,0.057992565,0.258736059,0.12267658,0.083271375,0.323420074,0.150929368
Skin,8,36,18,0.018811881,0.023762376,0.103960396,0.015841584,0.465346535,0.368316832
Skin,8,37,19,0.100931677,0.316770186,0.051242236,0.088509317,0.301242236,0.138198758
Skin,8,38,19,0.051930759,0.017310253,0.085219707,0.10252996,0.498002663,0.241011984
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
Skin,2,39,20,0.061650045,0.05893019,0.428830462,0.072529465,0.30099728,0.073436083
Skin,2,40,20,0.059052563,0.193056457,0.688838417,0.028228423,0.003569111,0.025308241
Skin,2,41,21,0.168273717,0.035458787,0.452255054,0.083670295,0.122861586,0.133437014
Skin,2,42,21,0.037735849,0.293396226,0.572641509,0.026415094,0.004716981,0.06509434
Skin,2,43,22,0.082851638,0.08477842,0.470134875,0.090558767,0.229287091,0.038535645
Skin,2,44,22,0.026077098,0.548752834,0.409863946,0.008219955,0.00170068,0.003684807
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
Skin,1,45,23,0.158862396,0.405343292,0.289571962,0.039356507,0.094513071,0.008618213
Skin,1,46,23,0.149496081,0.641097424,0.170212766,0.01343785,0.017357223,0.007278835
Skin,1,47,24,0.16687177,0.226064484,0.215973419,0.18422348,0.093773074,0.111247846
Skin,1,48,24,0.184923609,0.510810032,0.203516864,0.041222254,0.024214471,0.033727299
Skin,4,49,25,0.077399033,0.374620317,0.282258972,0.089323883,0.117223535,0.05759928
Skin,4,50,25,0.192766449,0.44978838,0.214313197,0.083493651,0.023085802,0.034628703
Skin,4,51,26,0.063865147,0.564339981,0.201210826,0.032526116,0.097578348,0.039411206
Skin,4,52,26,0.075128205,0.722307692,0.078974359,0.042307692,0.068974359,0.011282051
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
Skin,2,53,27,0.092626187,0.574965319,0.205634404,0.041617757,0.062106499,0.021449152
Skin,2,54,27,0.05845483,0.636326475,0.190897942,0.030249353,0.055320888,0.027932961
Skin,2,55,28,0.035865504,0.613200498,0.288293898,0.02739726,0.027521793,0.00622665
Skin,2,56,28,0.071187128,0.618712818,0.227825852,0.018455922,0.040224446,0.021903732
Skin,2,57,29,0.01681111,0.850892764,0.118617521,0.000522084,0.010441683,0.00229717
Skin,2,58,29,0.002764677,0.899170597,0.054155147,0.001301025,0.030736705,0.011383965
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
Blood,8,66,33,0.079519305,0.01661979,0.004346714,0.64612631,0.211454871,0.036819228
Skin,1,59,30,0.079767948,0.415518492,0.416243655,0.044960116,0.01595359,0.006526468
Skin,1,60,30,0.092656143,0.243651338,0.654083734,0.004804393,0.004804393,0.001372684
Skin,1,61,31,0.096742986,0.263785876,0.593679458,0.025153176,0.011609158,0.008061916
Skin,1,62,31,0.299962645,0.14661935,0.421740755,0.052110572,0.02035861,0.058087411
Skin,8,63,32,0.071655329,0.247165533,0.518820862,0.048072562,0.020861678,0.087981859
Skin,8,64,32,0.136177007,0.080520073,0.400547445,0.088959854,0.056797445,0.23745438
Skin,8,65,33,0.22564667,0.124380848,0.331315355,0.073747936,0.069895432,0.173362686
Skin,8,66,33,0.02087018,0.00565971,0.049876194,0.139724089,0.141139017,0.643792006
Blood,4,67,34,0.331364829,0.103237095,0.030621172,0.461067367,0.045275591,0.026902887
Blood,4,68,34,0.471271394,0.064995925,0.045028525,0.306642217,0.082518337,0.028117359
Blood,4,69,35,0.471830986,0.112676056,0.027464789,0.339612676,0.026056338,0.021126761
Blood,4,70,35,0.388844622,0.027888446,0.042549801,0.412270916,0.089243028,0.037609562
Blood,4,71,36,0.298403886,0.095998149,0.02752718,0.488086977,0.05759889,0.03030303
Blood,4,72,36,0.492395437,0.066539924,0.026344378,0.309342749,0.085822922,0.017925041
Skin,4,67,34,0.037410507,0.621558939,0.238580216,0.041645659,0.02641928,0.032973682
Skin,4,68,34,0.070408666,0.306663384,0.323732152,0.038979156,0.127195142,0.133267684
Skin,4,69,35,0.040975124,0.39510905,0.502357315,0.014373874,0.009850895,0.03821534
Skin,4,70,35,0.092155723,0.414294015,0.308541546,0.066821615,0.061243463,0.056711214
Skin,4,71,36,0.017564403,0.56172633,0.347440616,0.017397123,0.028772165,0.025593844
Skin,4,72,36,0.042778201,0.585746951,0.269150152,0.012195122,0.060689787,0.029535061
Skin,0,73,0,0.0819,0.621,0.3,0,0,0
Skin,0,74,0,0.185,0.412,0.408,0,0,0
Skin,0,75,0,0.0334,0.706,0.266,0,0,0
Skin,0,76,0,0.0463,0.575,0.381,0,0,0
Skin,0,77,0,0.0934,0.461,0.451,0,0,0
Skin,0,78,0,0.0892,0.298,0.618,0,0,0
Skin,0,79,0,0.0418,0.488,0.474,0,0,0
Skin,0,80,0,0.0241,0.347,0.631,0,0,0
Blood,0,73,0,0.8,0.0963,0.0997,0,0,0
Blood,0,74,0,0.781,0.128,0.0882,0,0,0
Blood,0,75,0,0.781,0.125,0.0899,0,0,0
Blood,0,76,0,0.809,0.0816,0.102,0,0,0
Blood,0,77,0,0.817,0.0972,0.0842,0,0,0
Blood,0,78,0,0.722,0.199,0.0632,0,0,0
Blood,0,79,0,0.845,0.0773,0.0762,0,0,0
Blood,0,80,0,0.665,0.216,0.11,0,0,0
Blood,0,81,0,0.766,0.243,0.0225,0,0,0
Blood,0,82,0,0.686,0.332,0.029,0,0,0
Blood,0,83,0,0.712,0.283,0.0465,0,0,0
Blood,0,84,0,0.726,0.281,0.0341,0,0,0
Blood,0,85,0,0.794,0.213,0.0243,0,0,0
Skin,0,81,0,0.172,0.491,0.342,0,0,0
Skin,0,82,0,0.098,0.49,0.414,0,0,0
Skin,0,83,0,0.177,0.551,0.275,0,0,0
Skin,0,84,0,0.205,0.412,0.384,0,0,0
Skin,0,85,0,0.168,0.586,0.247,0,0,0
Blood,0,86,0,0.853,0.106,0.0399,0,0,0
Blood,0,87,0,0.834,0.123,0.0407,0,0,0
Blood,0,88,0,0.675,0.255,0.0628,0,0,0
Skin,0,86,0,0.163,0.567,0.272,0,0,0
Skin,0,87,0,0.146,0.491,0.362,0,0,0
Skin,0,88,0,0.205,0.454,0.342,0,0,0
Blood,0,89,0,0.895,0.0676,0.0344,0,0,0
Blood,0,90,0,0.889,0.0788,0.0291,0,0,0
Blood,0,91,0,0.9,0.061,0.0377,0,0,0
Skin,0,89,0,0.255,0.561,0.182,0,0,0
Skin,0,90,0,0.0618,0.735,0.199,0,0,0
Skin,0,91,0,0.0993,0.807,0.0887,0,0,0
Blood,0,92,0,0.838,0.102,0.0685,0,0,0
Blood,0,93,0,0.814,0.101,0.093,0,0,0
Blood,0,94,0,0.858,0.121,0.0241,0,0,0
Blood,0,95,0,0.918,0.0527,0.0337,0,0,0
Skin,0,92,0,0.0665,0.89,0.0456,0,0,0
Skin,0,93,0,0.0328,0.863,0.106,0,0,0
Skin,0,94,0,0.149,0.708,0.149,0,0,0
Skin,0,95,0,0.0552,0.838,0.109,0,0,0
