tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
LN,8,38,19,0.041237113,0.067010309,0.139175258,0.144329897,0.097938144,0.505154639
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
LN,2,39,20,0.130434783,0.170807453,0.285714286,0.114906832,0.114906832,0.155279503
LN,2,40,20,0.192488263,0.154929577,0.366197183,0.093896714,0.046948357,0.126760563
LN,2,41,21,0.248447205,0.099378882,0.316770186,0.102484472,0.040372671,0.180124224
LN,2,42,21,0.177777778,0.061111111,0.516666667,0.133333333,0.011111111,0.094444444
LN,2,43,22,0.042105263,0.178947368,0.252631579,0.078947368,0.231578947,0.189473684
LN,2,44,22,0.216949153,0.237288136,0.288135593,0.088135593,0.057627119,0.088135593
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
LN,1,45,23,0.358078603,0.030567686,0.076419214,0.497816594,0.010917031,0.024017467
LN,1,46,23,0.64640884,0.037292818,0.153314917,0.139502762,0.005524862,0.013812155
LN,1,47,24,0.5,0.089285714,0.220238095,0.178571429,0,0.011904762
LN,1,48,24,0.616113744,0.033175355,0.139020537,0.17535545,0.014218009,0.018957346
LN,4,49,25,0.35,0.045,0.12,0.415,0.0175,0.05
LN,4,50,25,0.546666667,0.026666667,0.194871795,0.16,0.007179487,0.058461538
LN,4,51,26,0.443168772,0.032146958,0.150401837,0.299655568,0.027554535,0.044776119
LN,4,52,26,0.47954056,0.032304379,0.137114142,0.278535535,0.006460876,0.065326633
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
LN,2,53,27,0.526595745,0.045212766,0.220744681,0.151595745,0.013297872,0.033244681
LN,2,54,27,0.417342483,0.075483468,0.15658141,0.271366188,0.021834061,0.046163444
LN,2,55,28,0.398871119,0.062088429,0.136406397,0.340545626,0.026340546,0.031044214
LN,2,56,28,0.484711212,0.078142695,0.132502831,0.210645527,0.028312571,0.053227633
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
Blood,8,66,33,0.079519305,0.01661979,0.004346714,0.64612631,0.211454871,0.036819228
LN,1,59,30,0.125475285,0.406844106,0.224334601,0.079847909,0.159695817,0.02661597
LN,1,60,30,0.168393782,0.551813472,0.163212435,0.031088083,0.080310881,0.018134715
LN,1,62,31,0.425899281,0.282014388,0.208633094,0.046043165,0.04028777,0.020143885
LN,8,63,32,0.191176471,0.257352941,0.232843137,0.142156863,0.147058824,0.058823529
LN,8,64,32,0.243298969,0.230927835,0.21443299,0.111340206,0.167010309,0.078350515
LN,8,65,33,0.221052632,0.547368421,0.105263158,0.031578947,0.105263158,0.042105263
LN,8,66,33,0.041666667,0.040229885,0.031609195,0.288793103,0.313218391,0.316091954
Blood,4,67,34,0.331364829,0.103237095,0.030621172,0.461067367,0.045275591,0.026902887
Blood,4,68,34,0.471271394,0.064995925,0.045028525,0.306642217,0.082518337,0.028117359
Blood,4,69,35,0.471830986,0.112676056,0.027464789,0.339612676,0.026056338,0.021126761
Blood,4,70,35,0.388844622,0.027888446,0.042549801,0.412270916,0.089243028,0.037609562
Blood,4,71,36,0.298403886,0.095998149,0.02752718,0.488086977,0.05759889,0.03030303
Blood,4,72,36,0.492395437,0.066539924,0.026344378,0.309342749,0.085822922,0.017925041
LN,4,67,34,0.247672253,0.145251397,0.286778399,0.227188082,0.03538175,0.068901304
LN,4,68,34,0.398316971,0.102384292,0.23141655,0.199158485,0.023842917,0.051893408
LN,4,69,35,0.36131934,0.131934033,0.229385307,0.190404798,0.032983508,0.056971514
LN,4,70,35,0.391148325,0.055023923,0.258373206,0.161483254,0.027511962,0.108851675
LN,4,71,36,0.091139241,0.017721519,0.072151899,0.464556962,0.055696203,0.298734177
LN,4,72,36,0.331240188,0.028257457,0.108320251,0.271585557,0.06122449,0.205651491
LN,0,73,0,0.485,0.117,0.398,0,0,0
LN,0,74,0,0.443,0.167,0.379,0,0,0
LN,0,75,0,0.448,0.149,0.402,0,0,0
LN,0,76,0,0.466,0.134,0.395,0,0,0
LN,0,77,0,0.451,0.15,0.393,0,0,0
LN,0,78,0,0.364,0.261,0.382,0,0,0
LN,0,79,0,0.351,0.242,0.411,0,0,0
LN,0,80,0,0.421,0.147,0.437,0,0,0
Blood,0,73,0,0.8,0.0963,0.0997,0,0,0
Blood,0,74,0,0.781,0.128,0.0882,0,0,0
Blood,0,75,0,0.781,0.125,0.0899,0,0,0
Blood,0,76,0,0.809,0.0816,0.102,0,0,0
Blood,0,77,0,0.817,0.0972,0.0842,0,0,0
Blood,0,78,0,0.722,0.199,0.0632,0,0,0
Blood,0,79,0,0.845,0.0773,0.0762,0,0,0
Blood,0,80,0,0.665,0.216,0.11,0,0,0
Blood,0,81,0,0.766,0.243,0.0225,0,0,0
Blood,0,82,0,0.686,0.332,0.029,0,0,0
Blood,0,83,0,0.712,0.283,0.0465,0,0,0
Blood,0,84,0,0.726,0.281,0.0341,0,0,0
Blood,0,85,0,0.794,0.213,0.0243,0,0,0
LN,0,81,0,0.345,0.456,0.19,0,0,0
LN,0,82,0,0.438,0.242,0.331,0,0,0
LN,0,83,0,0.434,0.295,0.288,0,0,0
LN,0,84,0,0.444,0.21,0.358,0,0,0
LN,0,85,0,0.393,0.231,0.376,0,0,0
Blood,0,86,0,0.853,0.106,0.0399,0,0,0
Blood,0,87,0,0.834,0.123,0.0407,0,0,0
Blood,0,88,0,0.675,0.255,0.0628,0,0,0
LN,0,87,0,0.455,0.338,0.207,0,0,0
LN,0,88,0,0.523,0.202,0.267,0,0,0
LN,0,86,0,0.363,0.363,0.261,0,0,0
Blood,0,89,0,0.895,0.0676,0.0344,0,0,0
Blood,0,90,0,0.889,0.0788,0.0291,0,0,0
Blood,0,91,0,0.9,0.061,0.0377,0,0,0
LN,0,89,0,0.432,0.37,0.194,0,0,0
LN,0,90,0,0.562,0.22,0.215,0,0,0
LN,0,91,0,0.535,0.231,0.234,0,0,0
Blood,0,92,0,0.838,0.102,0.0685,0,0,0
Blood,0,93,0,0.814,0.101,0.093,0,0,0
Blood,0,94,0,0.858,0.121,0.0241,0,0,0
Blood,0,95,0,0.918,0.0527,0.0337,0,0,0
LN,0,92,0,0.519,0.0718,0.417,0,0,0
LN,0,93,0,0.525,0.0522,0.434,0,0,0
LN,0,94,0,0.528,0.112,0.366,0,0,0
LN,0,95,0,0.634,0.105,0.27,0,0,0
