tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,8,38,19,0.247376917,0.015536723,0.050645682,0.534301856,0.071428571,0.073244552
Brain,8,33,17,0.147601476,0.115621156,0.108241082,0.113161132,0.179581796,0.32103321
Brain,8,34,17,0.028629857,0.057259714,0.042944785,0.09202454,0.239263804,0.523517382
Brain,8,35,18,0.063740857,0.034482759,0.042842215,0.108672936,0.233019854,0.508881923
Brain,8,36,18,0.074747475,0.046464646,0.105050505,0.056565657,0.23030303,0.482828283
Brain,8,37,19,0.127802691,0.024663677,0.087443946,0.14573991,0.132286996,0.464125561
Brain,8,38,19,0.06122449,0.024118738,0.042671614,0.155844156,0.159554731,0.536178108
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
Brain,2,39,20,0.044444444,0.088888889,0.511111111,0.022222222,0.288888889,0.044444444
Brain,2,40,20,0.121359223,0.262135922,0.436893204,0.077669903,0.033980583,0.04368932
Brain,2,41,21,0.204301075,0.107526882,0.322580645,0.021505376,0.11827957,0.215053763
Brain,2,42,21,0.070422535,0.23943662,0.549295775,0.056338028,0.028169014,0.056338028
Brain,2,43,22,0.058823529,0.094117647,0.282352941,0.117647059,0.376470588,0.058823529
Brain,2,44,22,0.096774194,0.225806452,0.516129032,0.064516129,0.032258065,0.032258065
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
