tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,8,36,18,0.364855571,0.053988996,0.070495186,0.366918845,0.068088033,0.063961486
Blood,8,37,19,0.396860987,0.111787316,0.075912876,0.244394619,0.082959641,0.077514414
Blood,8,38,19,0.247376917,0.015536723,0.050645682,0.534301856,0.071428571,0.073244552
Muscle,8,33,17,0.138554217,0.135542169,0.219879518,0.090361446,0.141566265,0.262048193
Muscle,8,34,17,0.038926174,0.020134228,0.084563758,0.069798658,0.296644295,0.477852349
Muscle,8,35,18,0.061904762,0.084126984,0.120634921,0.066666667,0.212698413,0.441269841
Muscle,8,36,18,0.121813031,0.059490085,0.200188857,0.084041549,0.179414542,0.344664778
Muscle,8,37,19,0.09946714,0.047957371,0.078152753,0.179396092,0.198934281,0.387211368
Muscle,8,38,19,0.070247934,0.020661157,0.095041322,0.111570248,0.285123967,0.417355372
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
Muscle,2,39,20,0.096989967,0.230769231,0.377926421,0.053511706,0.127090301,0.113712375
Muscle,2,40,20,0.092296512,0.28997093,0.502906977,0.037790698,0.006540698,0.058866279
Muscle,2,41,21,0.145510836,0.102167183,0.470588235,0.080495356,0.080495356,0.111455108
Muscle,2,43,22,0.152532032,0.161683954,0.365466748,0.118364857,0.089078707,0.10433191
Muscle,2,44,22,0.286096257,0.160427807,0.326203209,0.120320856,0.037433155,0.06684492
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
Muscle,1,45,23,0.347064882,0.242276004,0.212409887,0.134397528,0.030638517,0.03115345
Muscle,1,46,23,0.398135819,0.287616511,0.151131824,0.086884154,0.05126498,0.023302264
Muscle,1,47,24,0.420380358,0.192165768,0.173431734,0.157536191,0.036332671,0.022140221
Muscle,1,48,24,0.216735254,0.503886603,0.100137174,0.070873342,0.082304527,0.022405121
Muscle,4,49,25,0.024213075,0.372881356,0.060532688,0.04842615,0.472154964,0.021791768
Muscle,4,50,25,0.410237015,0.242561775,0.191124559,0.099596571,0.016137166,0.038073626
Muscle,4,51,26,0.156948229,0.355313351,0.15640327,0.125340599,0.120980926,0.085013624
Muscle,4,52,26,0.310043668,0.35371179,0.133915575,0.113537118,0.040756914,0.040756914
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
Muscle,2,53,27,0.153318078,0.40617849,0.28279939,0.06655225,0.056064073,0.029748284
Muscle,2,54,27,0.160291439,0.544626594,0.081967213,0.111111111,0.069216758,0.032786885
Muscle,2,55,28,0.08937254,0.405186386,0.3141931,0.07571197,0.062977541,0.047927761
Muscle,2,56,28,0.222020018,0.375796178,0.217470428,0.083712466,0.055505005,0.040036397
Muscle,2,57,29,0.097033375,0.47960445,0.255871446,0.061804697,0.070457355,0.031520396
Muscle,2,58,29,0.027149321,0.696832579,0.149321267,0.027149321,0.07239819,0.018099548
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
