tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
Thymus,2,39,20,0.016666667,0.166666667,0.65,0.033333333,0.016666667,0.1
Thymus,2,40,20,0,0.256410256,0.641025641,0.025641026,0.076923077,0
Thymus,2,41,21,0,0.117647059,0.794117647,0.029411765,0.058823529,0
Thymus,2,42,21,0,0.108108108,0.783783784,0.027027027,0,0
Thymus,2,44,22,0.081081081,0.243243243,0.567567568,0,0.027027027,0
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
Thymus,1,45,23,0.516,0.096,0.32,0.04,0.008,0.016
Thymus,1,46,23,0.527777778,0.166666667,0.194444444,0.027777778,0,0.027777778
Thymus,1,47,24,0.337837838,0.148648649,0.391891892,0.027027027,0.054054054,0.040540541
Thymus,1,48,24,0.527777778,0.138888889,0.277777778,0.027777778,0.027777778,0
Thymus,4,49,25,0.215189873,0.050632911,0.202531646,0.367088608,0.088607595,0.063291139
Thymus,4,50,25,0.485507246,0.130434783,0.188405797,0.137681159,0.007246377,0.050724638
Thymus,4,52,26,0.475,0.25,0.25,0.025,0,0
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
Thymus,2,53,27,0.4,0.288888889,0.244444444,0.011111111,0.066666667,0
Thymus,2,54,27,0.210526316,0.368421053,0.315789474,0.052631579,0,0.035087719
Thymus,2,55,28,0.208333333,0.229166667,0.5,0.020833333,0.041666667,0
Thymus,2,56,28,0.272727273,0.254545455,0.309090909,0.054545455,0.036363636,0.036363636
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
Blood,8,66,33,0.079519305,0.01661979,0.004346714,0.64612631,0.211454871,0.036819228
Thymus,1,59,30,0.04,0.4,0.5,0,0,0.04
Thymus,1,60,30,0.05,0.333333333,0.583333333,0,0.016666667,0
Thymus,1,61,31,0.118181818,0.527272727,0.327272727,0,0.054545455,0.009090909
Thymus,1,62,31,0.118644068,0.457627119,0.43220339,0.008474576,0.008474576,0.008474576
Thymus,8,63,32,0.147058824,0.382352941,0.323529412,0.058823529,0.088235294,0.029411765
Thymus,8,64,32,0.147368421,0.242105263,0.221052632,0.126315789,0.084210526,0.189473684
Thymus,8,65,33,0.111111111,0.349206349,0.285714286,0.015873016,0.158730159,0.071428571
Thymus,8,66,33,0,0.059701493,0,0.179104478,0.417910448,0.373134328
Blood,4,67,34,0.331364829,0.103237095,0.030621172,0.461067367,0.045275591,0.026902887
Blood,4,68,34,0.471271394,0.064995925,0.045028525,0.306642217,0.082518337,0.028117359
Blood,4,69,35,0.471830986,0.112676056,0.027464789,0.339612676,0.026056338,0.021126761
Blood,4,70,35,0.388844622,0.027888446,0.042549801,0.412270916,0.089243028,0.037609562
Blood,4,71,36,0.298403886,0.095998149,0.02752718,0.488086977,0.05759889,0.03030303
Blood,4,72,36,0.492395437,0.066539924,0.026344378,0.309342749,0.085822922,0.017925041
Thymus,4,67,34,0.044444444,0.511111111,0.333333333,0.088888889,0,0.022222222
Thymus,4,68,34,0.244444444,0.185185185,0.288888889,0.140740741,0.037037037,0.103703704
Thymus,4,69,35,0.260273973,0.109589041,0.424657534,0.082191781,0.01369863,0.082191781
Thymus,4,70,35,0.379310345,0.103448276,0.219827586,0.189655172,0.030172414,0.077586207
Thymus,4,71,36,0.063829787,0.007092199,0.063829787,0.326241135,0.234042553,0.304964539
Thymus,4,72,36,0.087378641,0.038834951,0.106796117,0.203883495,0.27184466,0.281553398
Blood,0,73,0,0.8,0.0963,0.0997,0,0,0
Blood,0,74,0,0.781,0.128,0.0882,0,0,0
Blood,0,75,0,0.781,0.125,0.0899,0,0,0
Blood,0,76,0,0.809,0.0816,0.102,0,0,0
Blood,0,77,0,0.817,0.0972,0.0842,0,0,0
Blood,0,78,0,0.722,0.199,0.0632,0,0,0
Blood,0,79,0,0.845,0.0773,0.0762,0,0,0
Blood,0,80,0,0.665,0.216,0.11,0,0,0
Thymus,0,73,0,0.287,0.191,0.532,0,0,0
Thymus,0,74,0,0.271,0.208,0.5,0,0,0
Thymus,0,75,0,0.299,0.208,0.506,0,0,0
Thymus,0,76,0,0.207,0.182,0.612,0,0,0
Thymus,0,77,0,0.275,0.255,0.471,0,0,0
Thymus,0,78,0,0.19,0.19,0.621,0,0,0
Thymus,0,79,0,0.203,0.253,0.544,0,0,0
Thymus,0,80,0,0.1,0.4,0.5,0,0,0
Blood,0,81,0,0.766,0.243,0.0225,0,0,0
Blood,0,82,0,0.686,0.332,0.029,0,0,0
Blood,0,83,0,0.712,0.283,0.0465,0,0,0
Blood,0,84,0,0.726,0.281,0.0341,0,0,0
Blood,0,85,0,0.794,0.213,0.0243,0,0,0
