tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,8,36,18,0.364855571,0.053988996,0.070495186,0.366918845,0.068088033,0.063961486
Blood,8,37,19,0.396860987,0.111787316,0.075912876,0.244394619,0.082959641,0.077514414
Blood,8,38,19,0.247376917,0.015536723,0.050645682,0.534301856,0.071428571,0.073244552
Kidney,8,33,17,0.016393443,0.016393443,0.163934426,0,0.032786885,0.770491803
Kidney,8,37,19,0.214285714,0.071428571,0,0.142857143,0.285714286,0.285714286
Kidney,8,38,19,0.19239905,0.066508314,0.059382423,0.294536817,0.182897862,0.204275534
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
Kidney,2,39,20,0.110849057,0.226415094,0.318396226,0.143867925,0.080188679,0.103773585
Kidney,2,40,20,0.280492497,0.166987303,0.247018084,0.153135821,0.050788765,0.090419392
Kidney,2,41,21,0.207602339,0.111111111,0.388888889,0.131578947,0.076023392,0.081871345
Kidney,2,42,21,0.089352197,0.238272524,0.247952345,0.134028295,0.067758749,0.210722264
Kidney,2,43,22,0.05,0.4375,0.28125,0.0875,0.0875,0.03125
Kidney,2,44,22,0.228611501,0.3085554,0.280504909,0.12342216,0.019635344,0.025245442
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
Kidney,1,45,23,0.168769716,0.541009464,0.093059937,0.113564669,0.074132492,0.006309148
Kidney,1,46,23,0.291731669,0.336973479,0.053042122,0.129485179,0.174726989,0.009360374
Kidney,1,47,24,0.149341142,0.462664714,0.10102489,0.212298682,0.067349927,0.001464129
Kidney,1,48,24,0.228494624,0.459677419,0.094982079,0.092293907,0.113799283,0.005376344
Kidney,4,49,25,0.125806452,0.403225806,0.196774194,0.164516129,0.096774194,0.009677419
Kidney,4,50,25,0.289112534,0.264409881,0.118023788,0.193046661,0.105215005,0.020128088
Kidney,4,51,26,0.133843212,0.468451243,0.222753346,0.104206501,0.060229446,0.004780115
Kidney,4,52,26,0.230563003,0.343163539,0.09919571,0.193029491,0.131367292,0
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
Kidney,2,53,27,0.134656272,0.411764706,0.214741318,0.112686038,0.099220411,0.019844082
Kidney,2,54,27,0.091095015,0.585854282,0.214401363,0.067916489,0.0331487,0.006220707
Kidney,2,55,28,0.062928349,0.641744548,0.182762201,0.067912773,0.039460021,0.003530633
Kidney,2,56,28,0.066846986,0.729649665,0.119268418,0.045466255,0.034775889,0.002833591
Kidney,2,57,29,0.002477291,0.704376548,0.281172585,0.004541701,0.004954583,0.002477291
Kidney,2,58,29,0.001727489,0.495249406,0.493198013,0.00053984,0.00496653,0.003239041
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
Blood,8,66,33,0.079519305,0.01661979,0.004346714,0.64612631,0.211454871,0.036819228
Kidney,1,59,30,0.09223301,0.349514563,0.388349515,0.111650485,0.038834951,0.009708738
Kidney,1,60,30,0.459203036,0.28969007,0.121442125,0.07716635,0.038583175,0.007590133
