tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Blood,8,37,19,0.396860987,0.111787316,0.075912876,0.244394619,0.082959641,0.077514414
Blood,8,38,19,0.247376917,0.015536723,0.050645682,0.534301856,0.071428571,0.073244552
Pancreas,8,33,17,0.168508287,0.085635359,0.143646409,0.162983425,0.138121547,0.287292818
Pancreas,8,34,17,0.04008016,0.01002004,0.082164329,0.090180361,0.21242485,0.553106212
Pancreas,8,35,18,0.078341014,0.029953917,0.087557604,0.17281106,0.195852535,0.435483871
Pancreas,8,36,18,0.106351551,0.031019202,0.132939439,0.109305761,0.088626292,0.52437223
Pancreas,8,37,19,0.078651685,0.02247191,0.123595506,0.150561798,0.137078652,0.483146067
Pancreas,8,38,19,0.064638783,0.053231939,0.100760456,0.121673004,0.16539924,0.479087452
Blood,2,39,20,0.26275559,0.026562201,0.073189375,0.447353335,0.056564112,0.124020638
Blood,2,40,20,0.486571429,0.103428571,0.123428571,0.192285714,0.027428571,0.056571429
Blood,2,41,21,0.320120638,0.1227919,0.117621715,0.221887118,0.1227919,0.08056872
Blood,2,42,21,0.380259536,0.100668502,0.086511994,0.311049941,0.032638616,0.084152576
Blood,2,43,22,0.173501577,0.169295478,0.051524711,0.228180862,0.318611987,0.045215563
Blood,2,44,22,0.274566474,0.378612717,0.049132948,0.165462428,0.093208092,0.026734104
Pancreas,2,39,20,0.06006006,0.103103103,0.558558559,0.032032032,0.127127127,0.111111111
Pancreas,2,40,20,0.159546061,0.170894526,0.565420561,0.046061415,0.016021362,0.039385848
Pancreas,2,41,21,0.153374233,0.104294479,0.386503067,0.061349693,0.128834356,0.147239264
Pancreas,2,42,21,0.068965517,0.186612576,0.664300203,0.021298174,0.006085193,0.047667343
Pancreas,2,43,22,0.243495935,0.134552846,0.373170732,0.161382114,0.043495935,0.039430894
Pancreas,2,44,22,0.207959641,0.17264574,0.497757848,0.068946188,0.010650224,0.033071749
Blood,1,45,23,0.52031752,0.08013608,0.01001701,0.358911359,0.023814024,0.005670006
Blood,1,46,23,0.546992939,0.031531532,0.003774044,0.35926467,0.053810567,0.002921841
Blood,1,47,24,0.42745023,0.048940786,0.012889229,0.484877489,0.018121491,0.005997958
Blood,1,48,24,0.669001543,0.030155527,0.004986347,0.260477265,0.030986584,0.002968064
Blood,4,49,25,0.419287517,0.039895166,0.008008154,0.491021161,0.029169093,0.01092021
Blood,4,50,25,0.53471613,0.059593934,0.012532899,0.357876927,0.027697706,0.00739441
Blood,4,51,26,0.565599229,0.066402485,0.0137089,0.328478098,0.016921924,0.007282853
Blood,4,52,26,0.438347524,0.025701671,0.002680542,0.474456008,0.054556922,0.0029959
Pancreas,1,45,23,0.263513514,0.367117117,0.18018018,0.099099099,0.078828829,0.009009009
Pancreas,1,46,23,0.138132296,0.690661479,0.140077821,0.021400778,0.009727626,0
Pancreas,1,47,24,0.229496899,0.397656788,0.208821502,0.101998622,0.05582357,0.004135079
Pancreas,1,48,24,0.113680154,0.74566474,0.10982659,0.011560694,0.009633911,0.009633911
Pancreas,4,49,25,0.126794258,0.499401914,0.196770335,0.088516746,0.056220096,0.029904306
Pancreas,4,50,25,0.214162349,0.357512953,0.26597582,0.050086356,0.032815199,0.077720207
Pancreas,4,51,26,0.089655172,0.304597701,0.410344828,0.066666667,0.06091954,0.064367816
Pancreas,4,52,26,0.119581465,0.585949178,0.152466368,0.076233184,0.040358744,0.020926756
Blood,2,53,27,0.546696384,0.083471134,0.010353009,0.298439859,0.052843483,0.003522899
Blood,2,54,27,0.366085965,0.180153045,0.005617063,0.350537284,0.086698144,0.003663302
Blood,2,55,28,0.376502475,0.123497525,0.008484563,0.399127975,0.083549375,0.004360123
Blood,2,56,28,0.425026776,0.147090325,0.006604784,0.299178865,0.11370939,0.004284184
Blood,2,57,29,0.030113636,0.696022727,0.014772727,0.034090909,0.221022727,0.001704545
Blood,2,58,29,0.007282124,0.7329105,0.01010101,0.004933051,0.233262861,0.000704722
Pancreas,2,53,27,0.230606061,0.279393939,0.343636364,0.086666667,0.029090909,0.027575758
Pancreas,2,54,27,0.158422041,0.496556043,0.232310582,0.080776456,0.016280526,0.014402004
Pancreas,2,55,28,0.083930399,0.395087001,0.386898669,0.062436029,0.045035824,0.021494371
Pancreas,2,56,28,0.211075806,0.400817068,0.267362687,0.072628234,0.025873808,0.020426691
Pancreas,2,57,29,0.00973236,0.754257908,0.216545012,0.00243309,0.01216545,0.00243309
Pancreas,2,58,29,0.00093633,0.838014981,0.141385768,0.00093633,0.012172285,0.00093633
Blood,1,59,30,0.326487466,0.123829659,0.023255814,0.429175476,0.083962549,0.008758683
Blood,1,60,30,0.691160015,0.109101082,0.014546811,0.132413279,0.043267438,0.007086908
Blood,1,61,31,0.338110559,0.102661597,0.017256508,0.474115238,0.056449254,0.010821878
Blood,1,62,31,0.659768716,0.076384662,0.01552039,0.195678637,0.049908704,0.005782106
Blood,8,63,32,0.461852305,0.163402693,0.021827825,0.304569563,0.026927785,0.018359853
Blood,8,64,32,0.282669571,0.142501556,0.029247044,0.32078407,0.231642813,0.026602365
Blood,8,65,33,0.6552877,0.156431462,0.04451874,0.094140419,0.040119655,0.005278902
Blood,8,66,33,0.079519305,0.01661979,0.004346714,0.64612631,0.211454871,0.036819228
Pancreas,1,59,30,0.208,0.398857143,0.317714286,0.059428571,0.011428571,0.003428571
Pancreas,1,60,30,0.194614443,0.321909425,0.466340269,0.013463892,0.004895961,0.003671971
Pancreas,1,61,31,0.274074074,0.277777778,0.187037037,0.211111111,0.040740741,0.003703704
Pancreas,1,62,31,0.299760192,0.314148681,0.341726619,0.027577938,0.011990408,0.005995204
Pancreas,8,63,32,0.109803922,0.280392157,0.453921569,0.054901961,0.053921569,0.044117647
Pancreas,8,64,32,0.092812282,0.11235171,0.307745987,0.069434752,0.099092812,0.31786462
Pancreas,8,65,33,0.281598513,0.123141264,0.321561338,0.088289963,0.06830855,0.119888476
Pancreas,8,66,33,0.010309278,0.041237113,0.06185567,0.041237113,0.319587629,0.525773196
Blood,4,67,34,0.331364829,0.103237095,0.030621172,0.461067367,0.045275591,0.026902887
Blood,4,68,34,0.471271394,0.064995925,0.045028525,0.306642217,0.082518337,0.028117359
Blood,4,69,35,0.471830986,0.112676056,0.027464789,0.339612676,0.026056338,0.021126761
Blood,4,70,35,0.388844622,0.027888446,0.042549801,0.412270916,0.089243028,0.037609562
Blood,4,71,36,0.298403886,0.095998149,0.02752718,0.488086977,0.05759889,0.03030303
Blood,4,72,36,0.492395437,0.066539924,0.026344378,0.309342749,0.085822922,0.017925041
Pancreas,4,67,34,0.095808383,0.361916168,0.421796407,0.053173653,0.008383234,0.056766467
Pancreas,4,68,34,0.14858575,0.2273541,0.391335482,0.073755818,0.044038668,0.113139993
Pancreas,4,69,35,0.131258457,0.260893099,0.493098782,0.057104195,0.0067659,0.049526387
Pancreas,4,70,35,0.175836642,0.181130649,0.352240499,0.114766497,0.043864625,0.129703157
Pancreas,4,71,36,0.111575428,0.190555788,0.474300042,0.096949436,0.015461763,0.110739657
Pancreas,4,72,36,0.149599443,0.452978056,0.321664925,0.034134448,0.009578544,0.028561477
Blood,0,73,0,0.8,0.0963,0.0997,0,0,0
Blood,0,74,0,0.781,0.128,0.0882,0,0,0
Blood,0,75,0,0.781,0.125,0.0899,0,0,0
Blood,0,76,0,0.809,0.0816,0.102,0,0,0
Blood,0,77,0,0.817,0.0972,0.0842,0,0,0
Blood,0,78,0,0.722,0.199,0.0632,0,0,0
Blood,0,79,0,0.845,0.0773,0.0762,0,0,0
Blood,0,80,0,0.665,0.216,0.11,0,0,0
Pancreas,0,73,0,0.325,0.305,0.368,0,0,0
Pancreas,0,74,0,0.196,0.543,0.217,0,0,0
Pancreas,0,75,0,0.198,0.375,0.429,0,0,0
Pancreas,0,76,0,0.213,0.376,0.414,0,0,0
Pancreas,0,77,0,0.162,0.691,0.132,0,0,0
Pancreas,0,78,0,0.246,0.315,0.436,0,0,0
Pancreas,0,79,0,0.226,0.386,0.388,0,0,0
Pancreas,0,80,0,0.32,0.254,0.426,0,0,0
Blood,0,81,0,0.766,0.243,0.0225,0,0,0
Blood,0,82,0,0.686,0.332,0.029,0,0,0
Blood,0,83,0,0.712,0.283,0.0465,0,0,0
Blood,0,84,0,0.726,0.281,0.0341,0,0,0
Blood,0,85,0,0.794,0.213,0.0243,0,0,0
Pancreas,0,81,0,0.336,0.385,0.274,0,0,0
Pancreas,0,82,0,0.386,0.308,0.309,0,0,0
Pancreas,0,83,0,0.243,0.464,0.294,0,0,0
Pancreas,0,84,0,0.138,0.517,0.328,0,0,0
Pancreas,0,85,0,0.233,0.307,0.461,0,0,0
Blood,0,86,0,0.853,0.106,0.0399,0,0,0
Blood,0,87,0,0.834,0.123,0.0407,0,0,0
Blood,0,88,0,0.675,0.255,0.0628,0,0,0
Pancreas,0,86,0,0.292,0.155,0.555,0,0,0
Pancreas,0,87,0,0.43,0.187,0.379,0,0,0
Pancreas,0,88,0,0.287,0.232,0.478,0,0,0
Blood,0,89,0,0.895,0.0676,0.0344,0,0,0
Blood,0,90,0,0.889,0.0788,0.0291,0,0,0
Blood,0,91,0,0.9,0.061,0.0377,0,0,0
Pancreas,0,89,0,0.0995,0.756,0.141,0,0,0
Pancreas,0,90,0,0.516,0.368,0.113,0,0,0
Pancreas,0,91,0,0.346,0.362,0.289,0,0,0
Blood,0,92,0,0.838,0.102,0.0685,0,0,0
Blood,0,93,0,0.814,0.101,0.093,0,0,0
Blood,0,94,0,0.858,0.121,0.0241,0,0,0
Blood,0,95,0,0.918,0.0527,0.0337,0,0,0
Pancreas,0,92,0,0.106,0.229,0.677,0,0,0
Pancreas,0,93,0,0.029,0.504,0.477,0,0,0
Pancreas,0,94,0,0.131,0.365,0.516,0,0,0
Pancreas,0,95,0,0.143,0.379,0.492,0,0,0
