Tissue,Mean,Standard deviation,Median
Blood,4410,4370,2550
BoneMarrow,15800000,4450000,15700000
Thymus,22800,8410,24200
Spleen,3240000,672000,3210000
LN,66200,12700,63300
MLN,50300,24400,41500
PP,7700,2480,8200
Adrenals,1020,209,1010
Brain,2660,501,2580
Skin,251,177,231
Kidney,16500,6670,17100
Liver,31500,9830,30300
Lung,2530,734,2550
Pancreas,6590,1840,6920
Muscle,282,315,154
WAT,26400,15600,24300
IEL,22300,3530,22600
LPL,200000,43400,184000
FRT,55800,58500,39400
